"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","132,737,146","±140,273","132,737,146","(X)"
"        Married-couple household","61,980,084","±185,731","46.7%","±0.1"
"            With children of the householder under 18 years","22,999,943","±89,108","17.3%","±0.1"
"        Cohabiting couple household","9,593,464","±58,633","7.2%","±0.1"
"            With children of the householder under 18 years","2,949,936","±33,308","2.2%","±0.1"
"        Male householder, no spouse/partner present","24,549,743","±87,990","18.5%","±0.1"
"            With children of the householder under 18 years","1,595,145","±27,380","1.2%","±0.1"
"            Householder living alone","17,366,116","±81,071","13.1%","±0.1"
"                65 years and over","5,401,891","±40,174","4.1%","±0.1"
"        Female householder, no spouse/partner present","36,613,855","±82,209","27.6%","±0.1"
"            With children of the householder under 18 years","6,157,028","±58,105","4.6%","±0.1"
"            Householder living alone","20,949,247","±83,023","15.8%","±0.1"
"                65 years and over","10,382,978","±43,117","7.8%","±0.1"
"        Households with one or more people under 18 years","37,838,585","±90,273","28.5%","±0.1"
"        Households with one or more people 65 years and over","43,574,073","±68,525","32.8%","±0.1"
"        Average household size","2.50","±0.01","(X)","(X)"
"        Average family size","3.11","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","331,722,429","*****","331,722,429","(X)"
"        Householder","132,737,146","±140,273","40.0%","±0.1"
"        Spouse","61,883,716","±183,667","18.7%","±0.1"
"        Unmarried partner","9,689,857","±63,223","2.9%","±0.1"
"        Child","94,090,379","±152,603","28.4%","±0.1"
"        Other relatives","23,245,051","±146,158","7.0%","±0.1"
"        Other nonrelatives","10,076,280","±129,871","3.0%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","137,823,205","±33,187","137,823,205","(X)"
"        Never married","51,851,965","±115,324","37.6%","±0.1"
"        Now married, except separated","68,291,478","±163,740","49.6%","±0.1"
"        Separated","1,921,232","±26,733","1.4%","±0.1"
"        Widowed","3,605,849","±32,583","2.6%","±0.1"
"        Divorced","12,152,681","±68,946","8.8%","±0.1"
"    Females 15 years and over","142,769,633","±29,790","142,769,633","(X)"
"        Never married","45,764,964","±112,912","32.1%","±0.1"
"        Now married, except separated","66,029,187","±178,548","46.2%","±0.1"
"        Separated","2,553,523","±32,615","1.8%","±0.1"
"        Widowed","11,675,211","±54,267","8.2%","±0.1"
"        Divorced","16,746,748","±76,768","11.7%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,971,434","±36,997","3,971,434","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,195,958","±24,077","30.1%","±0.5"
"            Per 1,000 unmarried women","26","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","50","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","7","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","79","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","35","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","6,557,671","±62,042","6,557,671","(X)"
"        Grandparents responsible for grandchildren","2,016,003","±34,197","30.7%","±0.4"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","334,270","±12,338","5.1%","±0.2"
"            1 or 2 years","386,502","±13,077","5.9%","±0.2"
"            3 or 4 years","292,463","±10,887","4.5%","±0.2"
"            5 or more years","1,002,768","±21,403","15.3%","±0.3"
"    Number of grandparents responsible for own grandchildren under 18 years","2,016,003","±34,197","2,016,003","(X)"
"        Who are female","1,282,660","±20,946","63.6%","±0.5"
"        Who are married","1,333,133","±31,086","66.1%","±0.8"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","80,972,743","±113,618","80,972,743","(X)"
"        Nursery school, preschool","4,733,955","±42,185","5.8%","±0.1"
"        Kindergarten","4,018,261","±36,613","5.0%","±0.1"
"        Elementary school (grades 1-8)","32,711,545","±67,302","40.4%","±0.1"
"        High school (grades 9-12)","17,706,127","±55,104","21.9%","±0.1"
"        College or graduate school","21,802,855","±100,590","26.9%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","235,910,719","±69,861","235,910,719","(X)"
"        Less than 9th grade","10,908,872","±89,392","4.6%","±0.1"
"        9th to 12th grade, no diploma","12,868,166","±98,665","5.5%","±0.1"
"        High school graduate (includes equivalency)","60,698,932","±181,262","25.7%","±0.1"
"        Some college, no degree","43,653,533","±119,821","18.5%","±0.1"
"        Associate's degree","20,848,519","±84,517","8.8%","±0.1"
"        Bachelor's degree","52,233,014","±177,628","22.1%","±0.1"
"        Graduate or professional degree","34,699,683","±155,048","14.7%","±0.1"
"        High school graduate or higher","212,133,681","±205,306","89.9%","±0.1"
"        Bachelor's degree or higher","86,932,697","±300,131","36.8%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","265,909,569","±36,676","265,909,569","(X)"
"        Civilian veterans","15,701,246","±75,366","5.9%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","335,190,522","±20,943","335,190,522","(X)"
"        With a disability","45,838,484","±140,932","13.7%","±0.1"
"    Under 18 years","72,846,879","±31,474","72,846,879","(X)"
"        With a disability","3,811,937","±41,746","5.2%","±0.1"
"    18 to 64 years","202,531,317","±32,720","202,531,317","(X)"
"        With a disability","22,595,074","±102,020","11.2%","±0.1"
"    65 years and over","59,812,326","±25,206","59,812,326","(X)"
"        With a disability","19,431,473","±66,457","32.5%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","336,636,468","±32,733","336,636,468","(X)"
"        Same house","297,038,514","±210,231","88.2%","±0.1"
"        Different house (in the U.S. or abroad)","39,597,954","±206,217","11.8%","±0.1"
"            Different house in the U.S.","37,045,761","±202,359","11.0%","±0.1"
"                Same county","19,924,391","±155,113","5.9%","±0.1"
"                Different county","17,121,370","±112,832","5.1%","±0.1"
"                    Same state","9,963,763","±84,488","3.0%","±0.1"
"                    Different state","7,157,607","±75,154","2.1%","±0.1"
"            Abroad","2,552,193","±45,595","0.8%","±0.1"
