"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Estimate","United States!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","United States!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Estimate","United States!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Margin of Error","United States!!Percent of specified language speakers!!Speak English  less than ""very well""!!Estimate","United States!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","United States!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","United States!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Margin of Error"
"Population 5 years and over","321,745,943","±18,702","(X)","(X)","292,827,195","±159,600","91.0%","±0.1","28,918,748","±156,029","9.0%","±0.1"
"    Speak only English","247,695,110","±225,544","77.0%","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Speak a language other than English","74,050,833","±218,115","23.0%","±0.1","45,132,085","±159,324","60.9%","±0.2","28,918,748","±156,029","39.1%","±0.2"
"    SPEAK A LANGUAGE OTHER THAN ENGLISH","","","","","","","","","","","",""
"        Spanish","44,867,699","±143,192","13.9%","±0.1","26,435,478","±117,269","58.9%","±0.2","18,432,221","±123,301","41.1%","±0.2"
"            5 to 17 years old","8,180,233","±60,530","2.5%","±0.1","6,197,548","±59,322","75.8%","±0.5","1,982,685","±40,413","24.2%","±0.5"
"            18 to 64 years old","31,758,986","±92,991","9.9%","±0.1","18,188,756","±80,945","57.3%","±0.2","13,570,230","±93,577","42.7%","±0.2"
"            65 years old and over","4,928,480","±24,754","1.5%","±0.1","2,049,174","±23,300","41.6%","±0.4","2,879,306","±25,878","58.4%","±0.4"
"        Other Indo-European languages","13,038,087","±101,182","4.1%","±0.1","8,925,520","±74,394","68.5%","±0.3","4,112,567","±57,368","31.5%","±0.3"
"            5 to 17 years old","1,850,272","±30,246","0.6%","±0.1","1,387,747","±25,894","75.0%","±0.8","462,525","±17,659","25.0%","±0.8"
"            18 to 64 years old","8,924,241","±80,398","2.8%","±0.1","6,287,660","±62,101","70.5%","±0.4","2,636,581","±42,369","29.5%","±0.4"
"            65 years old and over","2,263,574","±30,379","0.7%","±0.1","1,250,113","±20,128","55.2%","±0.6","1,013,461","±20,262","44.8%","±0.6"
"        Asian and Pacific Island languages","11,928,962","±68,685","3.7%","±0.1","6,792,666","±55,108","56.9%","±0.3","5,136,296","±46,478","43.1%","±0.3"
"            5 to 17 years old","1,305,279","±22,958","0.4%","±0.1","1,001,295","±21,069","76.7%","±0.7","303,984","±10,037","23.3%","±0.7"
"            18 to 64 years old","8,406,436","±55,871","2.6%","±0.1","5,046,939","±46,105","60.0%","±0.4","3,359,497","±40,206","40.0%","±0.4"
"            65 years old and over","2,217,247","±15,882","0.7%","±0.1","744,432","±17,268","33.6%","±0.7","1,472,815","±16,824","66.4%","±0.7"
"        Other languages","4,216,085","±67,974","1.3%","±0.1","2,978,421","±53,876","70.6%","±0.6","1,237,664","±32,974","29.4%","±0.6"
"            5 to 17 years old","693,197","±24,212","0.2%","±0.1","549,152","±20,580","79.2%","±1.4","144,045","±11,690","20.8%","±1.4"
"            18 to 64 years old","3,040,532","±53,882","0.9%","±0.1","2,146,694","±42,894","70.6%","±0.7","893,838","±25,399","29.4%","±0.7"
"            65 years old and over","482,356","±14,029","0.1%","±0.1","282,575","±10,317","58.6%","±1.4","199,781","±9,215","41.4%","±1.4"
"CITIZENS 18 YEARS AND OVER","","","","","","","","","","","",""
"    All citizens 18 years old and over","245,275,126","±159,462","(X)","(X)","232,290,544","±174,116","94.7%","±0.1","12,984,582","±70,087","5.3%","±0.1"
"        Speak only English","202,613,410","±182,649","82.6%","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Speak a language other than English","42,661,716","±114,154","17.4%","±0.1","29,677,134","±106,893","69.6%","±0.2","12,984,582","±70,087","30.4%","±0.2"
"            Spanish","24,686,541","±73,755","10.1%","±0.1","17,660,314","±79,077","71.5%","±0.2","7,026,227","±50,857","28.5%","±0.2"
"            Other languages","17,975,175","±88,243","7.3%","±0.1","12,016,820","±75,078","66.9%","±0.2","5,958,355","±44,947","33.1%","±0.2"
